曩謨(去引),นโม
曩謨(去引),นโม
囉怛曩(二合)怛囉(二合)夜(引)野,รตฺนตฺรยาย
婆(去)誐嚩(無可反)帝(引),ภควเต
嚩(准上)日囉(二合)馱囉,วชฺรธร
娑(引)誐囉,สาคร
𡫸(寧吉反下同)㗚喖(苦姑反二合引)灑(引)野,นิรฺโฆษาย
怛他(去引)誐跢(引)野(引),ตถาคตาย
㗚賀(二合)帝(引),อรฺหเต
三(去)藐訖三(二合)沒馱(引)野,สมฺยกฺสมฺพุทฺธาย
怛儞也(二合引)他(去引),ตทฺยถา
素嚕(引)閉(引),สุรูเป
素嚩(准上)娜𩕳(引),สุวทเน
婆(去)㮈黎(二合引),ภทฺเร
素婆(去)捺嚟(二合引),สุภทฺเร
婆(去)捺囉(二合)嚩(准上)底,ภทฺรวติ
讚捺囉(二合)嚩(准上)底(丁壹反，下同),จนฺทรวติ
懵誐㘑(引),มงฺคเล
素懵誐隷(引),สุมงฺคเล
懵誐攞嚩(無鏺反)底(上同),มงฺคลวติ
阿(上)㘑(引),อเล
阿(上)左㘑(引),อจเล
阿(上)左播㘑,อจปเล
嗢耨伽(二合引)哆𡫸(寧逸反),อุทฺฆาตนิ
嗢儞庾(二合)怛𡫸,อุทฺโยตนิ
嗢耨避(二合引)娜𡫸(同前),อุทฺเภทนิ
鄔砌(引)那𡫸,อุจฺฉินฺทนิ
薩寫嚩(上同)底,สสฺยวติ
馱曩嚩(同前)底,ธนวติ
馱(引)寧也(二合)嚩(准上)底,ธานฺยวติ
室哩(二合引)沫底,ศฺรีมติ
鉢囉(二合)婆(引去)沫底,ปฺรภามติ
阿(上)麼㘑(引),อมเล
尾麼㘑(引),วิมเล
𡫸㗚麼(二合)㘑(引),นิรฺมเล
嚕嚕,รุรุ
嚕嚕嚩(同前)底,รุรุวติ
拶跛㘑(引),จปเล
阿(去引)㗚半(二合)曩悉帝(二合引),อรฺจนสฺเต
尾怛曩悉帝(二合引),วิตนสฺเต
遏尾曩悉帝(二合引),อวินสฺเต
遏怛曩悉帝(二合引),อตนสฺเต
遏尾哆曩悉帝(二合引),อวิตานสฺเต
遏馱曩悉帝(二合引),อธานสฺเต
唧怛囉(二合)曩悉帝(二合引),จิตฺรนสฺเต
尾濕嚩(二合)計(引)始𡫸,วิศฺวเกศินี
尾濕嚩(二合)嚕(引)錍(音卑),วิศฺวรูเป
尾秫曩始,วิศฺวนิศิ
尾舜馱施㘑(引),วิศุทฺธศีเล
尾麌抳𩕳(引)[口*(尤-尢+曳)](引),วิคุณินีเย
阿(上)努(鼻音)哆(重呼)嚟(引),อนุตฺตเร
盎(烏亘反)矩嚟,องฺคุเร
懵矩嚟(引),มงฺคุเร
鉢囉(二合)龐(去)矩嚟(引),ปฺรภงฺคุเร
尾囉銘(引),วิรเม
尾馱銘(引),วิธเม
度銘(引),ธุเม
度度銘(引),ธุธุเม
哩哩銘(引),รุรุเม
佉佉㘑(引),ขขเม
企企銘(引),ขิขิเม
喖喖銘(引),ขุขุเม
怛怛黎(引),ตตฺเร
多囉多囉,ตรตร
怛怛囉怛怛囉(引),ตตฺรตตฺร
哆(引)囉野哆(引)囉野,ตารยตารย
嚩日嚟(二合引),วชฺเร
嚩日嚕(二合引)鉢銘(引),วชฺโรปเม
吒計(引)吒計(引),ฏกฺเก ฏกฺเก
姹計(引)姹囉計(引),ฐกฺเก ฐรกฺเก
鄔計,อุกฺเก
𫪗計(引),วกฺเก
溥計(引),พุกฺเก
捺計(引),นุกฺเก
達計(引),ธุกฺเก
達囉計(引),ธรกฺเก
阿(引)嚩(無鏺反)㗚跢(二合)𡫸,อาวรฺตนิ
鉢囉(二合)嚩(無鏺反)㗚跢(二合)𡫸,ปรวรฺตนิ
嚩㗚灑(二合)抳嚩(同上)㗚灑(二合)抳,วรฺษณิวรฺษณิ
𡫸瑟播(二合引)捺𡫸,นิษฺปาทนิ
嚩日囉(二合)馱囉,วชฺรธร
娑(引)誐囉,สาคร
𡫸㗚齲(二合引)灑怛他(引)誐哆,นิรฺโฆษตถาคต
沫努(鼻音)娑麼(二合)囉,มนุสฺมร
薩㗚嚩(二合)怛他(引)蘖哆,สรฺวตถาคต
薩底也(二合反)麼努(鼻音)娑麼(二合)囉,สตฺยมนุสฺมร
達㗚麼(二合)薩底也(三合反),ธรฺมสตฺย
麼努娑麼(二合)囉,มนุสฺมร
僧(去)伽薩底也(二合反),สงฺฆสตฺย
麼努(鼻音)娑麼(二合)囉,มนุสฺมร
怛吒怛吒,ตฏตฏ
布囉野布囉野,ปูรยปูรย
布囉抳布囉抳,ปูรณิปูรณิ
薩㗚嚩(二合引)𠼬(引),สรฺวานฺ
薩㗚嚩(二合)薩怛嚩(二合引)難(上引)左,สรฺวสตฺตฺวานญฺจ
婆(去)囉婆(去)囉,ภรภร
懵誐㘑(引),มงฺคเล
扇(引)哆沫底,ศานฺตมติ
婆沫底,ชยมติ
麼賀(引)麼底,มหามติ
懵誐攞麼底,มงฺคลมติ
鉢囉(二合)婆(引)嚩底,ปฺรภวติ
婆(去)捺囉(二合)嚩底,ภทฺรวติ
素讚捺囉(二合)麼底,สุจนฺทรมติ
阿(引)誐蹉阿(引)誐蹉,อาคจฺฉ อาคจฺฉ
三(去)麼野麼努三麼(二合)囉,สมยมนุสฺมร
娑嚩(二合引)賀(引),สฺวาหา
阿(引)嚩(無可反)囉拏(鼻音引乎),อาวรณ
阿(引)馱(引)囉,อาธร
鉢囉(二合)婆(引去)嚩,ปฺรภว
娑嚩(二合)婆(去引)嚩(同上),สฺวภาว
地哩(二合)底,ธฤติ
麼努(鼻音)娑麼(二合)囉,มนุสฺมร
娑嚩(二合引)賀(引),สฺวาหา
諦(引)惹,เตช
惹野,ชย
尾惹野,วิชย
紇哩(二合)娜野,หฤทย
薩㗚嚩(二合)薩怛嚩(二合),สรฺวสตฺตฺว
麼努娑麼(二合)囉,มนุสฺมร
娑嚩(二合引)賀(引),สฺวาหา
尾秫曩始,วิชนศิ
曩謨(去引),นโม
囉怛曩(二合)怛囉(二合)夜(引)野,รตฺนตฺรยาย
唵(引),โอมฺ
嚩(同上)素馱(引)嚟(引),วสุธาเร
娑嚩(二合引)賀(引),สฺวาหา
唵(引),โอมฺ
室哩(二合引)嚩素母𡫸,ศฺรีวสุมติ
室哩(二合引)嚩(上同)素母𡫸,ศฺรีวสุมติ
娑嚩(二合引)賀(引),สฺวาหา
曩謨(去引),นโม
囉怛曩(二合)怛囉(二合)夜(引)野,รตฺนตฺรยาย
唵(引),โอมฺ
嚩(上同)素室哩(二合)[口*(尤-尢+曳)](引),วสุศฺรีเย
娑縛(二合引)賀(引),สฺวาหา
唵(引),โอมฺ
室哩(二合引),ศฺรี
嚩(准上)素麼底,วสุมติ
室里(二合引)[口*(尤-尢+曳)](引),ศฺรีเย
娑嚩(二合引)賀(引),สฺวาหา
唵(引),โอมฺ
嚩(無鏺反)素,วสุ
娑嚩(二合引)賀(引),สฺวาหา
唵(引),โอมฺ
𠸪乞芻弭(三合引)𠽾(引)哆𠸪𡫸,ลกฺษฺมี ภูตลนิ- (ปรับตามสันสกฤต)
嚩(引)悉寧(引)[口*(尤-尢+曳)](引),วาสินีเย  
娑嚩(二合引)賀(引),สฺวาหา
曩謨(去引),นโม
嚩日囉(二合)播(引)拏[口*(尤-尢+曳)](引),วชฺรปาณิเย
室哩(二合引)[口*(尤-尢+曳)](引)室哩(二合引)迦哩,ศฺรีเย ศฺรีกริ
馱曩迦哩,ธนกริ
馱(引)𭔞(二合反)迦哩,ธานฺยกริ
娑嚩(二合引)賀(引),สฺวาหา